timestamp,marker_id,dx_cm,dy_cm,radius_cm,apparent_size_cm,height_cm,scale_cmpx,note
2026-08-26T16:17:53,0,-79.71,-34.86,86.99,10.655,146.0,0.28471,
2026-08-26T16:17:53,1,91.20,-34.90,97.65,10.174,146.0,0.28471,
2026-08-26T16:17:53,2,91.17,36.58,98.24,10.679,146.0,0.28471,
2026-08-26T16:17:53,3,-79.72,36.51,87.68,10.601,146.0,0.28471,
2026-08-26T16:17:53,4,0.26,0.58,0.64,10.286,146.0,0.28471,
2026-08-26T16:19:25,0,-79.66,-34.93,86.98,10.549,146.0,0.28475,
2026-08-26T16:19:25,1,91.20,-34.92,97.65,10.113,146.0,0.28475,
2026-08-26T16:19:25,2,91.11,36.49,98.15,10.713,146.0,0.28475,
2026-08-26T16:19:25,3,-79.71,36.57,87.70,10.628,146.0,0.28475,
2026-08-26T16:19:25,4,28.85,0.62,28.86,10.170,146.0,0.28475,
2026-08-26T16:19:44,0,-80.10,-35.05,87.43,10.603,146.0,0.28621,
2026-08-26T16:19:44,1,91.65,-35.08,98.13,10.188,146.0,0.28621,
2026-08-26T16:19:44,2,91.57,36.74,98.67,10.674,146.0,0.28621,
2026-08-26T16:19:44,3,-80.14,36.74,88.16,10.682,146.0,0.28621,
2026-08-26T16:19:44,4,57.82,1.55,57.85,10.291,146.0,0.28621,
2026-08-26T16:20:27,0,-79.88,-35.00,87.21,10.657,146.0,0.28554,
2026-08-26T16:20:27,1,91.52,-34.98,97.97,10.167,146.0,0.28554,
2026-08-26T16:20:27,2,91.51,36.62,98.57,10.504,146.0,0.28554,
2026-08-26T16:20:27,3,-79.88,36.63,87.87,10.655,146.0,0.28554,
2026-08-26T16:20:27,4,-30.22,0.27,30.22,10.158,146.0,0.28554,
2026-08-26T16:20:49,0,-80.19,-35.17,87.56,10.622,146.0,0.28646,
2026-08-26T16:20:49,1,91.74,-35.11,98.22,10.195,146.0,0.28646,
2026-08-26T16:20:49,2,91.69,36.71,98.77,10.532,146.0,0.28646,
2026-08-26T16:20:49,3,-80.21,36.82,88.25,10.711,146.0,0.28646,
2026-08-26T16:20:49,4,-58.41,-0.66,58.42,10.140,146.0,0.28646,
2026-08-26T16:22:03,0,-80.05,-35.13,87.42,10.559,146.0,0.28619,
2026-08-26T16:22:03,1,91.73,-35.10,98.22,10.202,146.0,0.28619,
2026-08-26T16:22:03,2,91.69,36.79,98.80,10.611,146.0,0.28619,
2026-08-26T16:22:03,3,-80.03,36.70,88.05,10.674,146.0,0.28619,
2026-08-26T16:22:03,4,-0.12,-14.66,14.66,10.242,146.0,0.28619,
2026-08-26T16:22:29,0,-80.24,-35.19,87.61,10.511,146.0,0.28688,
2026-08-26T16:22:29,1,91.89,-35.13,98.38,10.189,146.0,0.28688,
2026-08-26T16:22:29,2,91.93,36.90,99.06,10.667,146.0,0.28688,
2026-08-26T16:22:29,3,-80.28,36.81,88.32,10.713,146.0,0.28688,
2026-08-26T16:22:29,4,-0.68,-30.53,30.54,10.259,146.0,0.28688,
2026-08-26T16:23:14,0,-80.15,-35.09,87.49,10.512,146.0,0.28634,
2026-08-26T16:23:14,1,91.66,-35.04,98.13,10.161,146.0,0.28634,
2026-08-26T16:23:14,2,91.65,36.75,98.74,10.634,146.0,0.28634,
2026-08-26T16:23:14,3,-80.20,36.77,88.23,10.696,146.0,0.28634,
2026-08-26T16:23:14,4,0.38,15.57,15.57,10.195,146.0,0.28634,
