timestamp,trial,scale_x_cmpx,scale_y_cmpx,table_w_cm,table_h_cm,camera_gsd_cmpx,warp_w,warp_h
2026-08-02T15:50:49,1,0.27463,0.27458,164.8,62.6,0.10842,600,228
2026-08-02T15:51:05,2,0.27553,0.27387,165.3,62.4,0.10855,600,228
2026-08-02T15:51:25,3,0.27494,0.27361,165.0,62.4,0.10830,600,228
2026-08-02T15:51:47,4,0.27282,0.27339,163.7,62.3,0.10805,600,228
2026-08-02T15:52:03,5,0.27481,0.27343,164.9,62.3,0.10855,600,228
2026-08-02T15:52:31,6,0.27577,0.27470,165.5,62.6,0.10854,600,228
2026-08-02T15:52:47,7,0.27540,0.27502,165.2,62.7,0.10797,600,228
2026-08-02T15:53:34,8,0.27568,0.27458,165.4,62.6,0.10862,600,228
2026-08-02T15:54:03,9,0.27440,0.27560,164.6,62.8,0.10852,600,228
2026-08-02T15:54:20,10,0.27442,0.27253,164.7,62.1,0.10850,600,228
2026-08-02T15:54:29,11,0.27455,0.27281,164.7,62.2,0.10854,600,228
