timestamp,trial,scale_x_cmpx,scale_y_cmpx,table_w_cm,table_h_cm,camera_gsd_cmpx,warp_w,warp_h
2026-08-02T15:47:18,1,0.27405,0.27567,164.4,62.6,0.10851,600,227
2026-08-02T15:47:22,2,0.27404,0.27578,164.4,62.6,0.10874,600,227
2026-08-02T15:47:25,3,0.27410,0.27623,164.5,62.7,0.10890,600,227
2026-08-02T15:47:30,4,0.27462,0.27603,164.8,62.7,0.10937,600,227
2026-08-02T15:47:36,5,0.27445,0.27567,164.7,62.6,0.10857,600,227
2026-08-02T15:47:40,6,0.27463,0.27561,164.8,62.6,0.10862,600,227
2026-08-02T15:47:44,7,0.27424,0.27593,164.5,62.6,0.10867,600,227
2026-08-02T15:47:49,8,0.27420,0.27601,164.5,62.7,0.10859,600,227
2026-08-02T15:47:55,9,0.27421,0.27567,164.5,62.6,0.10874,600,227
2026-08-02T15:47:59,10,0.27490,0.27584,164.9,62.6,0.10899,600,227
