t_s,wx,wy,x_cm,y_cm
0.336,460,51,134.17,14.79
0.468,452,51,131.84,14.78
0.579,446,51,130.09,14.78
0.735,438,50,127.76,14.49
0.824,430,49,125.44,14.2
0.935,424,49,123.7,14.2
1.044,419,51,122.24,14.78
1.828,376,50,109.72,14.48
1.936,370,50,107.98,14.49
2.392,348,50,101.59,14.48
2.733,334,50,97.5,14.48
2.829,327,50,95.45,14.48
3.047,318,49,92.82,14.19
3.138,312,49,91.06,14.19
3.23,308,49,89.89,14.19
3.316,304,49,88.72,14.19
3.409,301,49,87.85,14.18
3.535,294,49,85.8,14.18
3.663,288,49,84.05,14.18
3.772,283,49,82.6,14.18
3.898,277,49,80.85,14.18
4.01,273,49,79.68,14.18
4.132,268,49,78.23,14.18
4.242,263,49,76.77,14.19
4.403,257,49,75.02,14.19
4.49,251,49,73.27,14.19
4.6,246,49,71.82,14.19
4.736,242,49,70.65,14.19
4.83,236,49,68.9,14.19
5.434,205,49,59.83,14.18
5.539,199,49,58.08,14.18
5.625,195,50,56.92,14.46
5.732,192,50,56.04,14.46
5.836,186,50,54.28,14.46
5.919,181,49,52.82,14.17
6.059,176,49,51.36,14.17
6.154,170,49,49.61,14.17
6.263,165,48,48.16,13.87
6.41,160,48,46.7,13.87
6.495,153,48,44.65,13.87
6.614,148,48,43.2,13.87
6.725,143,48,41.74,13.87
