t_s,wx,wy,x_cm,y_cm
0.103,500,49,141.86,13.84
0.223,500,49,141.91,13.84
0.325,500,49,141.95,13.84
0.42,500,49,141.99,13.84
0.557,500,49,142.02,13.84
0.651,500,49,142.05,13.84
0.762,500,49,142.08,13.84
0.882,500,49,142.1,13.84
1.003,500,49,142.11,13.84
1.084,500,49,142.12,13.84
1.172,500,49,142.13,13.84
1.248,500,49,142.15,13.84
1.358,500,49,142.16,13.84
1.47,500,49,142.17,13.83
1.555,500,49,142.17,13.83
1.657,500,49,142.17,13.83
1.766,500,49,142.17,13.83
1.881,500,49,142.17,13.83
2.005,500,49,142.17,13.83
2.086,500,49,142.18,13.83
2.229,500,49,142.18,13.83
2.321,500,49,142.19,13.83
2.424,500,49,142.19,13.83
2.57,500,49,142.2,13.82
2.656,500,49,142.21,13.82
2.77,500,49,142.23,13.82
2.884,500,49,142.24,13.82
3.009,500,49,142.25,13.83
3.132,500,49,142.25,13.83
3.223,500,49,142.25,13.83
3.3,500,49,142.25,13.83
3.386,500,49,142.25,13.83
3.491,499,49,141.95,13.84
3.604,500,49,142.23,13.84
3.688,500,49,142.22,13.84
3.783,500,49,142.21,13.84
3.878,500,49,142.21,13.84
3.949,500,49,142.21,13.84
4.067,500,49,142.22,13.83
4.149,500,49,142.23,13.83
4.253,500,49,142.23,13.83
4.363,500,49,142.23,13.83
4.452,500,49,142.23,13.83
4.555,500,49,142.23,13.83
4.657,500,49,142.22,13.83
4.746,500,49,142.22,13.83
4.825,500,49,142.21,13.83
4.895,500,48,142.2,13.55
4.978,500,48,142.19,13.55
5.057,500,48,142.18,13.55
5.148,500,48,142.17,13.55
5.248,500,49,142.16,13.84
5.361,500,49,142.14,13.84
5.445,500,49,142.13,13.84
5.611,500,49,142.11,13.84
5.677,500,49,142.1,13.84
5.743,500,49,142.09,13.84
5.828,500,49,142.08,13.84
6.22,500,49,142.02,13.84
6.318,500,48,142.02,13.56
6.624,496,49,140.86,13.85
6.725,491,49,139.44,13.85
6.814,488,49,138.57,13.85
6.897,486,50,137.99,14.13
6.981,483,49,137.13,13.84
7.233,478,49,135.69,13.84
8.223,458,49,129.88,13.84
9.949,421,48,119.42,13.56
10.395,413,48,117.1,13.56
10.485,411,48,116.53,13.55
11.886,385,48,109.06,13.55
12.589,372,47,105.4,13.27
12.894,367,48,104.0,13.55
13.001,364,47,103.16,13.27
13.257,360,47,102.04,13.27
13.356,359,47,101.76,13.27
13.477,357,47,101.19,13.27
13.701,354,47,100.34,13.26
14.17,347,47,98.36,13.26
14.659,337,46,95.52,12.99
14.955,332,46,94.1,12.99
15.155,328,46,92.97,12.99
15.303,326,46,92.4,12.99
15.39,324,46,91.84,12.99
15.557,321,46,90.99,12.98
16.888,298,45,84.45,12.7
18.33,271,44,76.87,12.43
18.628,266,44,75.47,12.43
18.739,264,44,74.9,12.44
18.928,261,44,74.05,12.43
19.233,255,44,72.35,12.43
19.33,253,44,71.78,12.43
19.442,251,44,71.22,12.43
19.557,250,44,70.93,12.43
19.628,248,44,70.37,12.43
19.742,247,44,70.08,12.43
19.83,245,44,69.51,12.43
20.234,240,44,68.1,12.43
20.334,238,44,67.54,12.43
20.444,236,44,66.97,12.43
20.557,234,45,66.41,12.72
20.63,233,45,66.13,12.72
20.747,231,45,65.57,12.72
20.835,229,44,65.0,12.44
21.041,227,44,64.43,12.44
21.13,226,44,64.15,12.44
21.238,225,44,63.87,12.44
21.339,223,44,63.3,12.44
21.444,221,44,62.73,12.44
21.559,220,44,62.45,12.44
21.636,218,44,61.88,12.44
21.745,217,44,61.59,12.44
21.83,215,44,61.02,12.44
21.936,213,44,60.45,12.44
22.044,211,44,59.88,12.44
22.132,209,44,59.32,12.44
22.229,208,44,59.03,12.43
22.343,206,44,58.47,12.43
22.434,205,44,58.18,12.43
22.597,202,44,57.34,12.43
22.701,200,44,56.78,12.43
23.228,191,44,54.23,12.43
23.347,189,44,53.67,12.43
23.572,186,44,52.82,12.43
24.232,176,44,49.99,12.43
24.432,172,44,48.85,12.43
24.573,170,44,48.28,12.43
24.837,166,44,47.15,12.43
25.002,164,44,46.58,12.43
25.12,163,44,46.3,12.43
25.23,162,44,46.01,12.43
25.301,162,44,46.01,12.43
25.424,162,44,46.01,12.43
25.5,162,44,46.01,12.43
25.604,161,44,45.73,12.43
25.718,161,44,45.73,12.43
25.799,160,44,45.45,12.43
25.906,161,44,45.73,12.43
26.013,160,44,45.44,12.43
26.099,160,44,45.44,12.43
26.18,161,44,45.73,12.43
26.267,160,44,45.44,12.43
26.371,160,44,45.44,12.43
26.486,160,44,45.44,12.43
26.644,160,44,45.44,12.43
26.891,160,43,45.45,12.16
26.972,160,43,45.45,12.16
27.076,160,43,45.46,12.16
27.184,160,43,45.46,12.16
27.27,160,44,45.46,12.44
27.374,160,44,45.46,12.44
27.491,160,44,45.46,12.44
27.579,160,44,45.45,12.44
27.676,160,44,45.45,12.44
27.787,160,44,45.45,12.44
27.903,160,44,45.44,12.43
27.987,160,44,45.44,12.43
28.085,160,44,45.44,12.43
28.175,160,44,45.44,12.43
28.256,160,44,45.44,12.43
28.342,160,44,45.44,12.43
28.443,160,44,45.44,12.42
28.588,160,44,45.44,12.42
28.682,160,44,45.44,12.42
28.796,160,44,45.45,12.42
28.909,160,44,45.46,12.42
29.032,160,44,45.47,12.41
29.113,160,44,45.47,12.41
29.254,160,44,45.48,12.41
29.347,160,44,45.48,12.41
29.452,160,44,45.48,12.41
29.601,160,45,45.48,12.69
29.691,160,45,45.48,12.69
