epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5467,1.73232,4.41666,1.39523,0,0,0,0,1.6244,4.50448,1.27478,5.555e-05,5.555e-05,5.555e-05
2,56.4935,1.47331,4.22278,1.23655,0,0,0,0,1.34229,4.36583,1.10785,0.00011979,0.00011979,0.00011979
3,78.2504,1.3585,3.92153,1.15619,0,0,0,0,1.20468,4.26625,1.0482,0.000181391,0.000181391,0.000181391
4,93.7717,1.32725,3.53399,1.18477,0.15909,0.14583,0.17912,0.09007,1.15743,4.25611,1.02365,0.000240352,0.000240352,0.000240352
5,108.45,1.44634,3.09127,1.28193,0.07609,0.14583,0.16197,0.093,1.1797,4.27226,1.05096,0.000296673,0.000296673,0.000296673
6,123.07,1.25935,2.51003,1.16812,0.04269,0.33333,0.27159,0.12655,1.13801,4.30871,1.04622,0.000350354,0.000350354,0.000350354
7,138.812,1.31241,2.11786,1.17949,0.01717,0.68939,0.37016,0.16182,1.25771,4.09673,1.10041,0.000401395,0.000401395,0.000401395
8,159.041,1.37811,1.9416,1.2736,0.01856,0.75379,0.40286,0.18754,1.42719,4.00905,1.14715,0.000449797,0.000449797,0.000449797
9,176.964,1.3144,1.86795,1.25484,0.02212,0.8428,0.44158,0.23373,1.41399,3.93239,1.11968,0.000495559,0.000495559,0.000495559
10,194.076,1.25558,1.72787,1.2384,0.02272,0.95644,0.53112,0.28986,1.32524,3.7849,1.11761,0.000538682,0.000538682,0.000538682
11,210.801,1.37551,1.5992,1.27812,0.02111,0.95644,0.53525,0.28122,1.39908,3.69954,1.18416,0.000579164,0.000579164,0.000579164
12,230.445,1.29505,1.48371,1.21326,0.01943,0.95644,0.51514,0.25854,1.30354,3.49875,1.20164,0.000617007,0.000617007,0.000617007
13,250.745,1.25972,1.4537,1.25617,0.0186,0.95833,0.50802,0.27806,1.12943,3.4665,1.14621,0.00065221,0.00065221,0.00065221
14,288.895,1.31778,1.53655,1.24509,0.01748,0.95833,0.74371,0.47716,1.29928,3.22947,1.24682,0.000684774,0.000684774,0.000684774
15,316.241,1.23819,1.4282,1.23538,0.01748,0.95833,0.74371,0.47716,1.29928,3.22947,1.24682,0.000714697,0.000714697,0.000714697
16,334.448,1.33727,1.39844,1.21621,0.01604,0.95833,0.90507,0.57796,1.47285,2.98661,1.3701,0.000741981,0.000741981,0.000741981
17,351.103,1.28128,1.33978,1.1724,0.96842,0.39583,0.92545,0.64557,1.38629,2.69273,1.30161,0.000759035,0.000759035,0.000759035
18,367.989,1.16598,1.26247,1.13931,0.94848,0.64583,0.95457,0.64175,1.21969,2.38377,1.2173,0.000737037,0.000737037,0.000737037
19,383.63,1.29983,1.24235,1.16979,0.94848,0.64583,0.95457,0.64175,1.21969,2.38377,1.2173,0.00071504,0.00071504,0.00071504
20,399.083,1.15838,1.22284,1.17502,0.9137,0.66455,0.9535,0.67119,1.1687,2.09209,1.172,0.000693042,0.000693042,0.000693042
21,416.776,1.21248,1.22737,1.18097,0.91991,0.88411,0.96567,0.66534,1.29177,1.98893,1.22556,0.000671044,0.000671044,0.000671044
22,433.564,1.18273,1.18124,1.17388,0.90837,0.91391,0.97247,0.65146,1.25724,1.89804,1.2138,0.000649046,0.000649046,0.000649046
23,450.653,1.17198,1.1402,1.1703,0.90837,0.91391,0.97247,0.65146,1.25724,1.89804,1.2138,0.000627048,0.000627048,0.000627048
24,465.781,1.2037,1.13197,1.13459,0.9661,0.9093,0.97526,0.67891,1.16251,1.68065,1.17909,0.000605051,0.000605051,0.000605051
25,481.753,1.18785,1.14864,1.157,0.95733,0.90614,0.97808,0.66908,1.14409,1.55762,1.16309,0.000583053,0.000583053,0.000583053
26,496.183,1.25167,1.11127,1.17068,0.94893,0.90248,0.97509,0.67371,1.20066,1.49441,1.18774,0.000561055,0.000561055,0.000561055
27,510.901,1.18084,1.13878,1.15614,0.94893,0.90248,0.97509,0.67371,1.20066,1.49441,1.18774,0.000539057,0.000539057,0.000539057
28,525.822,1.17903,1.11127,1.19177,0.941,0.89924,0.97509,0.68128,1.1659,1.40369,1.17583,0.000517059,0.000517059,0.000517059
29,540.017,1.11172,1.028,1.07371,0.952,0.8982,0.98833,0.70169,1.09283,1.26794,1.15055,0.000495062,0.000495062,0.000495062
30,554.952,1.12424,0.96204,1.10633,0.97281,0.89908,0.98833,0.72976,1.04204,1.13235,1.13382,0.000473064,0.000473064,0.000473064
31,569.119,1.16536,1.11239,1.18032,0.97281,0.89908,0.98833,0.72976,1.04204,1.13235,1.13382,0.000451066,0.000451066,0.000451066
32,583.375,1.14709,0.9912,1.13158,0.98599,0.89785,0.987,0.72251,1.04886,1.12919,1.12988,0.000429068,0.000429068,0.000429068
33,597.564,1.09979,1.0267,1.11528,0.98302,0.89759,0.97509,0.70244,1.13423,1.17684,1.1621,0.00040707,0.00040707,0.00040707
34,611.861,1.09276,1.00769,1.11888,0.97146,0.89822,0.97509,0.70166,1.1424,1.20648,1.1743,0.000385073,0.000385073,0.000385073
35,626.994,1.13335,0.98552,1.12647,0.97146,0.89822,0.97509,0.70166,1.1424,1.20648,1.1743,0.000363075,0.000363075,0.000363075
36,640.763,1.07136,1.00112,1.098,0.97136,0.89946,0.97509,0.71878,1.09029,1.18536,1.1565,0.000341077,0.000341077,0.000341077
37,655.16,1.07147,1.00619,1.12623,0.97838,0.89954,0.985,0.73371,1.04854,1.12997,1.14124,0.000319079,0.000319079,0.000319079
38,669.349,1.0724,1.03231,1.11622,0.98261,0.90033,0.98423,0.70966,1.06387,1.0951,1.14525,0.000297081,0.000297081,0.000297081
39,682.712,1.09921,1.05815,1.19518,0.98261,0.90033,0.98423,0.70966,1.06387,1.0951,1.14525,0.000275084,0.000275084,0.000275084
40,697.041,1.07675,0.92313,1.08614,0.94402,0.95546,0.995,0.7009,1.116,1.08181,1.17231,0.000253086,0.000253086,0.000253086
41,709.694,1.11757,1.13,1.17514,0.94123,0.95862,0.995,0.69613,1.13179,1.07617,1.17704,0.000231088,0.000231088,0.000231088
42,723.495,1.09016,1.12046,1.17074,0.92907,0.97129,0.995,0.71942,1.13221,1.09887,1.17251,0.00020909,0.00020909,0.00020909
43,739.779,1.09903,1.12677,1.18371,0.92907,0.97129,0.995,0.71942,1.13221,1.09887,1.17251,0.000187092,0.000187092,0.000187092
44,755.044,1.13331,1.20897,1.19662,0.92446,0.9775,0.995,0.73078,1.12854,1.11837,1.16616,0.000165095,0.000165095,0.000165095
45,770.907,1.12148,1.24812,1.15709,0.92294,0.97842,0.995,0.73621,1.12554,1.13369,1.1637,0.000143097,0.000143097,0.000143097
46,785.355,1.07303,1.18327,1.13788,0.9226,0.97872,0.995,0.72988,1.12578,1.13033,1.16014,0.000121099,0.000121099,0.000121099
47,799.598,1.05136,1.16895,1.15792,0.9226,0.97872,0.995,0.72988,1.12578,1.13033,1.16014,9.91012e-05,9.91012e-05,9.91012e-05
48,813.086,1.02279,1.12551,1.12192,0.9215,0.97844,0.995,0.73409,1.12173,1.11909,1.15665,7.71034e-05,7.71034e-05,7.71034e-05
49,826.228,1.11123,1.18604,1.1776,0.91948,0.97969,0.995,0.73094,1.12637,1.11282,1.15777,5.51056e-05,5.51056e-05,5.51056e-05
50,839.633,1.05516,1.13344,1.11961,0.91875,0.98067,0.995,0.73245,1.13337,1.10193,1.16095,3.31078e-05,3.31078e-05,3.31078e-05
