epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.019,2.08775,4.38147,1.32199,0.00146,0.30824,0.05874,0.02145,1.67779,4.78976,1.12415,0.000408333,0.000408333,0.000408333
2,346.559,1.83864,3.00113,1.21448,0.76365,0.24776,0.39327,0.15741,1.97775,3.8512,1.20955,0.000808665,0.000808665,0.000808665
3,516.537,1.87126,2.50114,1.22166,0.57737,0.51456,0.56596,0.25698,1.767,2.74187,1.18509,0.0011925,0.0011925,0.0011925
4,686.802,1.84992,2.28774,1.23586,0.72154,0.62768,0.68117,0.30924,1.82359,2.22732,1.24562,0.00117575,0.00117575,0.00117575
5,856.303,1.80039,2.08,1.22583,0.73719,0.61327,0.68488,0.29229,1.89263,2.01404,1.25117,0.001151,0.001151,0.001151
6,1037.86,1.74386,1.78333,1.21717,0.73507,0.61458,0.70748,0.32417,1.80726,1.82616,1.21598,0.00112625,0.00112625,0.00112625
7,1220.22,1.74222,1.70207,1.19468,0.811,0.66864,0.76352,0.34497,1.79417,1.58933,1.21669,0.0011015,0.0011015,0.0011015
8,1404.06,1.71797,1.57137,1.21701,0.75987,0.67332,0.73216,0.32438,1.8882,1.59303,1.27482,0.00107675,0.00107675,0.00107675
9,1554.44,1.6481,1.45325,1.17408,0.85513,0.69468,0.77503,0.33057,1.90295,1.45278,1.26328,0.001052,0.001052,0.001052
10,1698.57,1.63703,1.37413,1.17625,0.76569,0.69883,0.73906,0.30532,1.91519,1.41349,1.25781,0.00102725,0.00102725,0.00102725
11,1841.51,1.61998,1.34467,1.15659,0.82376,0.70019,0.7801,0.34115,1.81867,1.38905,1.22621,0.0010025,0.0010025,0.0010025
12,1983.84,1.61846,1.28151,1.16305,0.87869,0.67685,0.79725,0.35883,1.78415,1.32391,1.21807,0.00097775,0.00097775,0.00097775
13,2126.09,1.59745,1.25674,1.15443,0.83306,0.75554,0.80246,0.3646,1.81523,1.24752,1.22902,0.000953,0.000953,0.000953
14,2268.83,1.58901,1.19562,1.17237,0.84306,0.75616,0.83192,0.37504,1.81021,1.19309,1.23063,0.00092825,0.00092825,0.00092825
15,2413.1,1.60003,1.15231,1.1525,0.89629,0.73169,0.818,0.37668,1.82351,1.19543,1.22953,0.0009035,0.0009035,0.0009035
16,2554.86,1.58427,1.09339,1.13338,0.83581,0.73346,0.79959,0.35295,1.90648,1.16798,1.27491,0.00087875,0.00087875,0.00087875
17,2697.01,1.57935,1.13461,1.14149,0.86713,0.72646,0.81683,0.38542,1.76543,1.17038,1.20122,0.000854,0.000854,0.000854
18,2839.93,1.55819,1.08355,1.1513,0.8534,0.68338,0.80639,0.38229,1.77899,1.19156,1.22398,0.00082925,0.00082925,0.00082925
19,2982.91,1.59263,1.08966,1.14349,0.88356,0.73731,0.82314,0.40481,1.71605,1.10348,1.18458,0.0008045,0.0008045,0.0008045
20,3126.18,1.50744,1.03704,1.11348,0.85912,0.72434,0.80519,0.377,1.77362,1.13594,1.19985,0.00077975,0.00077975,0.00077975
21,3270.19,1.56007,1.00317,1.1368,0.79794,0.69998,0.8079,0.3755,1.8208,1.13383,1.21808,0.000755,0.000755,0.000755
22,3410.45,1.52574,0.99344,1.12488,0.89738,0.70097,0.80353,0.33558,1.9537,1.15845,1.29233,0.00073025,0.00073025,0.00073025
23,3550.33,1.50855,0.9662,1.12331,0.85619,0.72491,0.80997,0.38698,1.80119,1.11916,1.22239,0.0007055,0.0007055,0.0007055
24,3690.8,1.53893,0.96863,1.10528,0.8571,0.73618,0.79491,0.3583,1.857,1.10542,1.23665,0.00068075,0.00068075,0.00068075
25,3830.54,1.52478,0.99159,1.1051,0.81206,0.7778,0.81617,0.3743,1.83099,1.06576,1.2263,0.000656,0.000656,0.000656
26,3972.5,1.48614,0.93097,1.11182,0.887,0.75287,0.8231,0.39845,1.77196,1.02218,1.20529,0.00063125,0.00063125,0.00063125
27,4111.76,1.47563,0.91288,1.12472,0.91656,0.70979,0.81586,0.37887,1.78554,1.02682,1.22006,0.0006065,0.0006065,0.0006065
28,4251.71,1.42699,0.87954,1.08133,0.89523,0.71703,0.82395,0.39798,1.76873,1.00769,1.20652,0.00058175,0.00058175,0.00058175
29,4392.24,1.43708,0.86262,1.08898,0.87937,0.76396,0.82043,0.39227,1.78795,1.02273,1.21402,0.000557,0.000557,0.000557
30,4533.07,1.48186,0.89639,1.10669,0.86882,0.75418,0.82372,0.38825,1.80359,0.98662,1.22262,0.00053225,0.00053225,0.00053225
31,4672.63,1.43515,0.85266,1.0698,0.8186,0.77286,0.80653,0.37248,1.83295,1.03765,1.23535,0.0005075,0.0005075,0.0005075
32,4812.57,1.43533,0.8558,1.07859,0.92848,0.73851,0.84728,0.40561,1.73547,0.9767,1.2009,0.00048275,0.00048275,0.00048275
