epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.494,2.07821,4.41681,1.34781,0.00228,0.40341,0.04049,0.01381,1.72182,4.68455,1.16983,0.000408333,0.000408333,0.000408333
2,297.085,1.8328,2.87215,1.24153,0.14221,0.24032,0.06702,0.01981,2.02623,7.52797,1.36658,0.000808665,0.000808665,0.000808665
3,443.198,1.84349,2.42431,1.25354,0.67587,0.53532,0.60521,0.24347,2.11538,2.71564,1.39912,0.0011925,0.0011925,0.0011925
4,588.599,1.87011,2.24937,1.25537,0.6743,0.45079,0.53959,0.26468,1.78182,2.67657,1.21552,0.00117575,0.00117575,0.00117575
5,735.099,1.79499,2.00054,1.24473,0.7127,0.57875,0.65604,0.26827,2.02377,2.0456,1.34215,0.001151,0.001151,0.001151
6,878.782,1.73753,1.71293,1.25476,0.77153,0.63549,0.71592,0.30792,1.87709,1.8049,1.27776,0.00112625,0.00112625,0.00112625
7,1021.1,1.73306,1.61646,1.23182,0.78319,0.71541,0.76992,0.32959,1.87146,1.53155,1.27075,0.0011015,0.0011015,0.0011015
8,1165.18,1.74611,1.51083,1.25846,0.84118,0.61519,0.74851,0.33823,1.84682,1.57513,1.27257,0.00107675,0.00107675,0.00107675
9,1309.3,1.65401,1.38344,1.20918,0.82356,0.71683,0.79067,0.35452,1.77948,1.43309,1.2411,0.001052,0.001052,0.001052
10,1454.55,1.63093,1.3179,1.20099,0.84212,0.72498,0.78902,0.33719,1.87742,1.32849,1.28476,0.00102725,0.00102725,0.00102725
11,1599.57,1.63329,1.28751,1.19631,0.83377,0.75032,0.8175,0.38777,1.71213,1.25046,1.22034,0.0010025,0.0010025,0.0010025
12,1743.77,1.61862,1.20532,1.20193,0.84951,0.69643,0.77934,0.38706,1.71982,1.23334,1.21792,0.00097775,0.00097775,0.00097775
13,1888.77,1.58543,1.18393,1.16938,0.83218,0.76518,0.80691,0.36873,1.85156,1.17301,1.25602,0.000953,0.000953,0.000953
14,2033.24,1.57499,1.12464,1.19761,0.79117,0.75488,0.80135,0.3413,1.90418,1.17778,1.28489,0.00092825,0.00092825,0.00092825
15,2176.49,1.57793,1.06971,1.17887,0.89915,0.73906,0.821,0.36686,1.87093,1.12055,1.26179,0.0009035,0.0009035,0.0009035
16,2321.6,1.56753,1.02016,1.15819,0.86609,0.74794,0.80025,0.34814,1.95612,1.14832,1.31174,0.00087875,0.00087875,0.00087875
