epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.24,2.06477,4.391,1.37587,0.00242,0.44569,0.00284,0.00103,1.81341,31.041,1.17113,0.000408333,0.000408333,0.000408333
2,367.388,1.86098,2.86916,1.28905,0.35967,0.24729,0.1906,0.07325,2.04669,3.56005,1.35497,0.000808665,0.000808665,0.000808665
3,546.807,1.87703,2.39744,1.30873,0.64738,0.6258,0.6511,0.30674,1.79128,2.33722,1.28646,0.0011925,0.0011925,0.0011925
4,728.468,1.87641,2.21242,1.30666,0.6861,0.64908,0.70252,0.31319,1.82493,2.27964,1.27249,0.00117575,0.00117575,0.00117575
5,907.786,1.78104,2.05152,1.2768,0.72259,0.65544,0.72437,0.31242,1.9111,2.49949,1.33306,0.001151,0.001151,0.001151
6,1087.94,1.72723,1.68805,1.26248,0.78831,0.64474,0.76267,0.35438,1.81759,1.66631,1.25766,0.00112625,0.00112625,0.00112625
7,1266.84,1.75182,1.60444,1.26323,0.83323,0.68017,0.77541,0.35261,1.88383,1.56532,1.28372,0.0011015,0.0011015,0.0011015
8,1444.84,1.71833,1.48215,1.26825,0.79164,0.6722,0.73136,0.34904,1.78901,1.49084,1.25118,0.00107675,0.00107675,0.00107675
9,1622.18,1.63714,1.39932,1.21489,0.80029,0.73647,0.79759,0.37373,1.80879,1.34679,1.26369,0.001052,0.001052,0.001052
10,1799.72,1.64042,1.30681,1.2291,0.89181,0.67423,0.78542,0.37503,1.76194,1.31873,1.23609,0.00102725,0.00102725,0.00102725
11,1978.16,1.61553,1.27356,1.20637,0.86929,0.6887,0.76672,0.35581,1.81288,1.34207,1.25373,0.0010025,0.0010025,0.0010025
12,2157.81,1.58494,1.21722,1.20265,0.85465,0.75047,0.80428,0.37669,1.83087,1.18392,1.24759,0.00097775,0.00097775,0.00097775
