epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.8861,1.86556,5.62593,1.5936,0.00327,0.09783,0.00723,0.00373,1.72243,5.41663,1.46488,7.777e-05,7.777e-05,7.777e-05
2,108.82,1.58387,5.18375,1.32474,0.00388,0.15217,0.0493,0.02207,1.34392,5.15913,1.20261,0.00016335,0.00016335,0.00016335
3,158.395,1.46645,4.83076,1.17495,0.09589,0.6413,0.35054,0.20559,1.2356,5.04649,1.09826,0.000245411,0.000245411,0.000245411
4,208.21,1.33337,4.76625,1.1165,0.07195,0.83103,0.4117,0.27665,1.18328,4.82793,1.04393,0.000323952,0.000323952,0.000323952
5,259.142,1.46223,4.10192,1.17707,0.06854,0.87648,0.40917,0.27018,1.2066,4.7989,1.08512,0.000398973,0.000398973,0.000398973
6,309.97,1.42642,3.76314,1.14818,0.0343,0.51285,0.38443,0.24579,1.26743,4.76561,1.1383,0.000470475,0.000470475,0.000470475
7,359.841,1.40522,3.22197,1.13998,0.0159,0.50198,0.39458,0.25232,1.25652,4.68696,1.145,0.000538457,0.000538457,0.000538457
8,409.382,1.34801,3.01073,1.12943,0.14521,0.45702,0.43053,0.27259,1.24751,4.73536,1.14873,0.00060292,0.00060292,0.00060292
9,458.848,1.4326,2.96587,1.17421,1,0.27044,0.65055,0.38096,1.3448,4.58822,1.2177,0.000663862,0.000663862,0.000663862
10,508.576,1.41256,3.00115,1.20656,1,0.10988,0.62606,0.36565,1.3186,4.47194,1.19715,0.000721286,0.000721286,0.000721286
11,558.276,1.42036,3.03468,1.22486,1,0.23153,0.63594,0.37335,1.28198,4.25498,1.15952,0.000775189,0.000775189,0.000775189
12,608.567,1.42913,2.95363,1.18696,0.97592,0.35596,0.70525,0.38655,1.32949,4.01029,1.14251,0.000825573,0.000825573,0.000825573
13,658.255,1.38025,2.85309,1.19326,0.98626,0.66194,0.72383,0.42813,1.37334,3.69708,1.1519,0.000847026,0.000847026,0.000847026
14,708.392,1.43451,2.55758,1.16945,0.98347,0.66394,0.7719,0.4141,1.42128,3.71842,1.16121,0.000825029,0.000825029,0.000825029
15,758.758,1.41979,2.92511,1.17981,0.9675,0.6964,0.97156,0.49874,1.43399,3.35407,1.1691,0.000803031,0.000803031,0.000803031
16,808.563,1.4072,2.73447,1.17649,0.88846,0.96935,0.97644,0.52491,1.42554,3.10102,1.14866,0.000781033,0.000781033,0.000781033
