epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.964,2.04838,4.37223,1.35424,0.00169,0.18752,0.00592,0.00117,1.74384,5.05472,1.18684,0.000408333,0.000408333,0.000408333
2,347.807,1.83842,3.10813,1.25678,0.00696,0.74668,0.11472,0.04588,1.8364,7.76308,1.22942,0.000808665,0.000808665,0.000808665
3,519.618,1.86559,2.55475,1.28144,0.81719,0.4552,0.62229,0.28458,1.91033,3.03168,1.29203,0.0011925,0.0011925,0.0011925
4,687.722,1.86078,2.30417,1.27856,0.67953,0.67952,0.70488,0.32758,1.82191,2.2168,1.2736,0.00117575,0.00117575,0.00117575
5,854.45,1.83801,2.16373,1.29004,0.70041,0.59427,0.6534,0.27777,1.95811,2.217,1.33041,0.001151,0.001151,0.001151
6,1021.11,1.75538,1.80021,1.26683,0.7865,0.61552,0.68248,0.32708,1.83902,1.83179,1.27764,0.00112625,0.00112625,0.00112625
7,1187.04,1.7793,1.69207,1.26684,0.80663,0.61422,0.75366,0.33693,1.8378,1.71519,1.27382,0.0011015,0.0011015,0.0011015
8,1354.01,1.74691,1.56515,1.26729,0.77304,0.67734,0.73548,0.313,1.92114,1.57364,1.28745,0.00107675,0.00107675,0.00107675
9,1520.07,1.65234,1.4606,1.20657,0.79312,0.768,0.80559,0.34665,1.84571,1.42592,1.27623,0.001052,0.001052,0.001052
10,1688.92,1.66426,1.38597,1.22231,0.839,0.69214,0.7587,0.30434,2.02459,1.37496,1.36381,0.00102725,0.00102725,0.00102725
11,1858.5,1.64849,1.35189,1.20307,0.87882,0.70261,0.79256,0.31976,1.94961,1.35222,1.32995,0.0010025,0.0010025,0.0010025
12,2023.83,1.64334,1.28332,1.22125,0.86533,0.69967,0.79457,0.38559,1.73252,1.34814,1.20955,0.00097775,0.00097775,0.00097775
13,2184.56,1.61617,1.2502,1.17924,0.80363,0.76124,0.78019,0.34451,1.85745,1.2813,1.28274,0.000953,0.000953,0.000953
14,2342.33,1.60098,1.19485,1.19843,0.81911,0.7608,0.79664,0.38298,1.76012,1.21508,1.22947,0.00092825,0.00092825,0.00092825
15,2498.5,1.61067,1.16965,1.19252,0.87334,0.71953,0.80466,0.35208,1.89204,1.25099,1.28201,0.0009035,0.0009035,0.0009035
16,2654.78,1.59628,1.13173,1.17303,0.81628,0.75861,0.79132,0.32479,2.04334,1.18364,1.34756,0.00087875,0.00087875,0.00087875
17,2811.43,1.57293,1.10604,1.1619,0.83033,0.72358,0.7834,0.35915,1.82848,1.14485,1.26594,0.000854,0.000854,0.000854
